class	slot	action	target	path	LinkML implementation notes	value
JgiMtInterface	rna_concentration	replace_attribute	recommended			false
JgiMtInterface	rna_cont_type	replace_attribute	required			true
JgiMtInterface	rna_cont_type	replace_attribute	recommended			false
JgiMgInterface|JgiMgLrInterface	dna_cont_well	replace_attribute	recommended			true
JgiMtInterface	rna_cont_well	replace_attribute	recommended			true
JgiMtInterface	rna_container_id	replace_attribute	required			true
JgiMtInterface	rna_container_id	replace_attribute	recommended			false
JgiMtInterface	rna_isolate_meth	replace_attribute	required			true
JgiMtInterface	rna_isolate_meth	replace_attribute	recommended			false
JgiMtInterface	rna_project_contact	replace_attribute	required			true
JgiMtInterface	rna_project_contact	replace_attribute	recommended			false
JgiMtInterface	rna_samp_id	replace_attribute	required			true
JgiMtInterface	rna_samp_id	replace_attribute	recommended			false
JgiMtInterface	rna_sample_format	replace_attribute	required			true
JgiMtInterface	rna_sample_format	replace_attribute	recommended			false
JgiMtInterface	rna_sample_name	replace_attribute	required			true
JgiMtInterface	rna_sample_name	replace_attribute	recommended			false
JgiMtInterface	rna_sample_name	replace_attribute	pattern			^[_a-zA-Z0-9-]*$
JgiMtInterface	rna_seq_project	replace_attribute	required			true
JgiMtInterface	rna_seq_project	replace_attribute	recommended			false
JgiMtInterface	rna_seq_project_name	replace_attribute	required			true
JgiMtInterface	rna_seq_project_name	replace_attribute	recommended			false
JgiMtInterface	rna_seq_project_pi	replace_attribute	required			true
JgiMtInterface	rna_seq_project_pi	replace_attribute	recommended			false
JgiMtInterface	rna_volume	replace_attribute	required			true
JgiMtInterface	rna_volume	replace_attribute	recommended			false
SoilInterface	salinity_meth	overwrite_examples	examples			https://doi.org/10.1007/978-1-61779-986-0_28
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	samp_collec_device	add_attribute	comments			Report dimensions and details when applicable
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	samp_collec_device	replace_attribute	recommended			true
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	samp_collec_method	add_attribute	comments			This can be a citation or description
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	samp_mat_process	overwrite_examples	examples			filtering of seawater|storing samples in ethanol
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	samp_mat_process	replace_attribute	range			string
DhMultiviewCommonColumnsMixin	samp_name	add_attribute	comments			It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible.
DhMultiviewCommonColumnsMixin	samp_name	replace_attribute	description			A local identifier or name that for the material sample collected. Refers to the original material collected or to any derived sub-samples.
DhMultiviewCommonColumnsMixin	samp_name	overwrite_examples	examples			Rock core CB1178(5-6) from NSW
DhMultiviewCommonColumnsMixin	samp_name	replace_attribute	identifier			true
DhMultiviewCommonColumnsMixin	samp_name	replace_attribute	required			true
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	samp_size	add_attribute	comments			This refers to the TOTAL amount of sample collected from the experiment. NOT the amount sent to each institution or collected for a specific analysis.
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	samp_size	overwrite_examples	examples			5 grams|10 mL
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	samp_size	replace_attribute	range			string
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	samp_size	replace_attribute	string_serialization			{float} {unit}
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	samp_store_temp	replace_attribute	description			Temperature at which the sample was stored (degrees are assumed)
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	samp_store_temp	overwrite_examples	examples			-80 Celsius
AirInterface|BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface	samp_store_temp	replace_attribute	required			true
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	sample_link	add_attribute	notes			"also tempted to include SampIdNewTermsMixin but if len(slot_usage.keys()) > 1 and ""placeholder"" in slot_usage.keys():AttributeError: 'list' object has no attribute 'keys'"
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	sample_link	replace_attribute	range			string
EmslInterface	sample_shipped	replace_attribute	required			true
EmslInterface	sample_shipped	replace_attribute	recommended			false
EmslInterface	sample_type	replace_attribute	required			true
EmslInterface	sample_type	replace_attribute	recommended			false
SoilInterface	season_precpt	overwrite_examples	examples			0.4 inch|10.16 mm
SoilInterface	season_precpt	add_attribute	notes			mean and average are the same thing, but it seems like bad practice to not be consistent. Changed mean to average
SoilInterface	season_precpt	replace_attribute	title			average seasonal precipitation
SoilInterface	season_precpt	add_attribute	todos			This is no longer matching the listed IRI from GSC. When NMDC has its own slots, map this to the MIxS slot|check validation & examples. always mm? so value only? Or value + unit
SoilInterface	sieving	overwrite_examples	examples			combined 2 cores|4mm sieved|4 mm sieved and homogenized|50 g| 5 cores|2 mm sieved
SoilInterface	sieving	replace_attribute	recommended			true
SoilInterface	sieving	add_attribute	todos			check validation and examples
SoilInterface	size_frac_low	replace_attribute	recommended			false
SoilInterface	size_frac_up	replace_attribute	recommended			false
SoilInterface	slope_aspect	replace_attribute	description			The direction a slope faces. While looking down a slope use a compass to record the direction you are facing (direction or degrees). - This measure provides an indication of sun and wind exposure that will influence soil temperature and evapotranspiration.
SoilInterface	slope_aspect	overwrite_examples	examples			35
SoilInterface	slope_aspect	add_attribute	todos			This is no longer matching the listed IRI from GSC. When NMDC has its own slots, map this to the MIxS slot
SoilInterface	slope_gradient	overwrite_examples	examples			10%|10 %|0.1
SoilInterface	slope_gradient	add_attribute	todos			Slope is a percent. How does the validation work? Check to correct examples
DhMultiviewCommonColumnsMixin	source_mat_id	add_attribute	comments			Identifiers must be prefixed. Possible FAIR prefixes are IGSNs (http://www.geosamples.org/getigsn), NCBI biosample accession numbers, ARK identifiers (https://arks.org/). These IDs enable linking to derived analytes and subsamples. If you have not assigned FAIR identifiers to your samples, you can generate UUIDs (https://www.uuidgenerator.net/).
DhMultiviewCommonColumnsMixin	source_mat_id	replace_attribute	description			A globally unique identifier assigned to the biological sample.
DhMultiviewCommonColumnsMixin	source_mat_id	overwrite_examples	examples			IGSN:AU1243|UUID:24f1467a-40f4-11ed-b878-0242ac120002
DhMultiviewCommonColumnsMixin	source_mat_id	add_attribute	notes			The source material IS the Globally Unique ID
DhMultiviewCommonColumnsMixin	source_mat_id	replace_attribute	string_serialization			{text}:{text}
DhMultiviewCommonColumnsMixin	source_mat_id	add_attribute	todos			Currently, the comments say to use UUIDs. However, if we implement assigning NMDC identifiers with the minter we dont need to require a GUID. It can be an optional field to fill out only if they already have a resolvable ID.
SoilInterface	specific_ecosystem	replace_attribute	range			SpecificEcosystemForSoilEnum
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|WastewaterSludgeInterface	specific_ecosystem	replace_attribute	range			SpecificEcosystemEnum
AirInterface|BiofilmInterface|BuiltEnvInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	specific_ecosystem	replace_attribute	recommended			true
SoilInterface	store_cond	replace_attribute	description			Explain how the soil sample is stored (fresh/frozen/other).
SoilInterface	store_cond	replace_attribute	range			StoreCondEnum
SoilInterface	store_cond	replace_attribute	required			true
EmslInterface	technical_reps	replace_attribute	recommended			true
BiofilmInterface|SedimentInterface|SoilInterface	tot_carb	overwrite_examples	examples			1 ug/L
BiofilmInterface|SedimentInterface|SoilInterface	tot_carb	add_attribute	todos			is this inorganic and organic? both? could use some clarification.|ug/L doesn't seem like the right units. Should check this slots usage in databases and re-evaluate. I couldn't find any references that provided this data in this format
SoilInterface	tot_nitro_cont_meth	overwrite_examples	examples			https://doi.org/10.2134/agronmonogr9.2.c32|https://acsess.onlinelibrary.wiley.com/doi/full/10.2136/sssaj2009.0389?casa_token=bm0pYIUdNMgAAAAA%3AOWVRR0STHaOe-afTcTdxn5m1hM8n2ltM0wY-b1iYpYdD9dhwppk5j3LvC2IO5yhOIvyLVeQz4NZRCZo
BiofilmInterface|SedimentInterface|SoilInterface	tot_nitro_content	overwrite_examples	examples			5 mg N/ L
SoilInterface	tot_org_c_meth	overwrite_examples	examples			https://doi.org/10.1080/07352680902776556
BiofilmInterface|SedimentInterface|SoilInterface	tot_org_carb	overwrite_examples	examples			5 mg N/ L
BiofilmInterface|SedimentInterface|SoilInterface	tot_org_carb	add_attribute	todos			check description. How are they different?
SoilInterface	water_cont_soil_meth	overwrite_examples	examples			J. Nat. Prod. Plant Resour., 2012, 2 (4):500-503|https://dec.alaska.gov/applications/spar/webcalc/definitions.htm
SoilInterface	water_cont_soil_meth	add_attribute	todos			Why is it soil water content method in the name but not the title? Is this slot used in other samples?|Soil water content can be measure MANY ways and often, multiple ways are used in one experiment (gravimetric water content and water holding capacity and water filled pore space, to name a few).|Should this be multi valued? How to we manage and validate this?
BiofilmInterface|SedimentInterface|SoilInterface	water_content	replace_annotation	expected_value			string
BiofilmInterface|SedimentInterface|SoilInterface	water_content	replace_annotation	preferred_unit			gram per gram or cubic centimeter per cubic centimeter
BiofilmInterface|SedimentInterface|SoilInterface	water_content	replace_attribute	string_serialization			{float or pct} {unit}
PlantAssociatedInterface|SoilInterface	watering_regm	overwrite_examples	examples			1 liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M|75% water holding capacity; constant
PlantAssociatedInterface|SoilInterface	watering_regm	replace_attribute	recommended			true
AirInterface|BiofilmInterface|BuiltEnvInterface|DhMultiviewCommonColumnsMixin|EmslInterface|HcrCoresInterface|HcrFluidsSwabsInterface|HostAssociatedInterface|JgiMgInterface|JgiMgLrInterface|JgiMtInterface|MiscEnvsInterface|PlantAssociatedInterface|SedimentInterface|SoilInterface|WastewaterSludgeInterface|WaterInterface	oxy_stat_samp	replace_attribute	range			OxyStatSampEnum
